"DISTRICT","lists"
"Karimganj",137
"Kamrup Metropolitan",85
"Kokrajhar",61
"Barpeta",52
"Darrang",29
"Cachar",23
"Baksa",19
"Sonitpur",18
"Dhubri",15
"Bongaigaon",10
"Dibrugarh",10
"Majuli",10
"Chirang",7
"Lakhimpur",5
"Nagaon",5
"Nalbari",5
"Hailakandi",4
"Karbi Anglong",4
"Goalpara",3
"Kamrup",3
"Morigaon",3
"Golaghat",2
"Jorhat",2
"Tinsukia",2
"Biswanath",1
"East Siang",1
"Udalguri",1
