"DISTRICT","daym","lists","birders"
"Baksa",13,18,4
"Baksa",14,36,5
"Baksa",15,20,3
"Baksa",16,20,4
"Barpeta",14,1,1
"Biswanath",13,2,1
"Biswanath",14,1,1
"Biswanath",15,2,1
"Biswanath",16,6,1
"Bongaigaon",14,2,1
"Cachar",14,1,1
"Cachar",15,2,1
"Cachar",16,2,1
"Chirang",15,2,1
"Darrang",13,2,2
"Darrang",14,18,6
"Darrang",15,3,3
"Darrang",16,5,5
"Dhemaji",15,2,1
"Dibrugarh",13,1,1
"Dibrugarh",14,1,1
"Dibrugarh",15,3,2
"Dibrugarh",16,3,1
"Golaghat",14,1,1
"Hojai",13,1,1
"Jorhat",13,2,1
"Jorhat",15,1,1
"Jorhat",16,3,2
"Kamrup",13,4,3
"Kamrup",14,6,5
"Kamrup",15,10,6
"Kamrup",16,4,3
"Kamrup Metropolitan",13,5,4
"Kamrup Metropolitan",14,2,2
"Kamrup Metropolitan",15,28,9
"Kamrup Metropolitan",16,9,3
"Karbi Anglong",15,1,1
"Karbi Anglong",16,1,1
"Karimganj",14,2,2
"Karimganj",16,7,3
"Kokrajhar",13,3,3
"Kokrajhar",14,4,4
"Kokrajhar",15,2,2
"Kokrajhar",16,5,5
"Lakhimpur",13,4,3
"Lakhimpur",14,10,4
"Lakhimpur",15,2,2
"Lakhimpur",16,2,2
"Majuli",13,2,1
"Majuli",14,2,1
"Majuli",16,1,1
"Morigaon",13,1,1
"Morigaon",14,5,2
"Morigaon",15,3,3
"Morigaon",16,8,4
"Nagaon",13,1,1
"Nagaon",14,1,1
"Nagaon",16,1,1
"Nalbari",14,1,1
"Nalbari",16,1,1
"Sonitpur",13,6,3
"Sonitpur",14,5,2
"Sonitpur",15,8,4
"Sonitpur",16,1,1
"Tinsukia",14,2,1
"Udalguri",13,5,1
"Udalguri",14,3,2
