"COMMON.NAME","freq"
"Black Bulbul",0.0124576996020974
"Common Woodshrike",0.0122717637871407
"Gray-hooded Warbler",0.0122717637871407
"Common Greenshank",0.012085827972184
"Nilgiri Flowerpecker",0.0118255178312447
"Orange Minivet",0.0117883306682533
"Knob-billed Duck",0.011639582016288
"Brown Rock Chat",0.011528020527314
"Gray-headed Canary-Flycatcher",0.01141645903834
"White-throated Fantail",0.0113792718753486
"Yellow-browed Bulbul",0.0113792718753486
"Citrine Wagtail",0.0113420847123573
"Gray Bushchat",0.0113420847123573
"Green Warbler",0.0113420847123573
"Streaked Laughingthrush",0.0112677103863746
"White-bellied Drongo",0.011193336060392
"White-eared Bulbul",0.0111189617344093
"Woolly-necked Stork",0.0110074002454353
"Booted Warbler",0.0108586515934699
"Red Junglefowl",0.0108214644304786
"Large Cuckooshrike",0.0107842772674873
"white egret sp.",0.0104867799635566
"Asian Brown Flycatcher",0.0104495928005652
"Eurasian Wigeon",0.0101149083336432
"Malabar Gray Hornbill",0.0101149083336432
"Southern Hill Myna",0.00985459819270388
"Booted Eagle",0.00978022386672121
"Oriental Turtle-Dove",0.00970584954073854
"Gray Treepie",0.0096686623777472
"Jerdon's Bushlark",0.00963147521475587
"Bar-headed Goose",0.0095571008887732
"Cotton Pygmy-Goose",0.0095571008887732
"Puff-throated Babbler",0.0095571008887732
"sunbird sp.",0.00944553939979919
"Common Redshank",0.00940835223680785
"Malabar Starling",0.00940835223680785
"Yellow-eyed Babbler",0.00937116507381652
"Eurasian Kestrel",0.00922241642185118
"Eurasian Spoonbill",0.00922241642185118
"Common Snipe",0.00918522925885984
"Little Stint",0.00918522925885984
"Spot-billed Pelican",0.00918522925885984
"Greater Flameback",0.00914804209586851
"Bluethroat",0.00911085493287717
"Asian Barred Owlet",0.00899929344390316
"Indian Scimitar-Babbler",0.00899929344390316
"Marsh Sandpiper",0.00899929344390316
"Green-backed Tit",0.00888773195492916
"Red Avadavat",0.00870179613997248
"Great Barbet",0.00866460897698115
"Brown-cheeked Fulvetta",0.00855304748800714
"White-browed Fantail",0.00825555018407646
"Black-tailed Godwit",0.00814398869510245
"Kalij Pheasant",0.00810680153211112
"Jerdon's Leafbird",0.0078836785541631
"Common Pochard",0.00784649139117177
"Malabar Barbet",0.00784649139117177
"Rufous-tailed Lark",0.00780930422818043
"Scarlet Minivet",0.00780930422818043
"swift sp.",0.00769774273920643
"Russet Sparrow",0.00754899408724108
"White-rumped Shama",0.00754899408724108
"Hair-crested Drongo",0.00743743259826708
"Himalayan Griffon",0.00743743259826708
"Lineated Barbet",0.00743743259826708
"Crimson-backed Sunbird",0.00732587110929307
"Black-throated Tit",0.00721430962031907
"Himalayan Bluetail",0.00721430962031907
