"DISTRICT","daym","lists","birders"
"Ariyalur",14,14,2
"Ariyalur",15,23,3
"Ariyalur",16,30,7
"Ariyalur",17,15,1
"Chengalpattu",14,24,4
"Chengalpattu",15,7,6
"Chengalpattu",16,21,9
"Chengalpattu",17,12,11
"Chennai",14,55,36
"Chennai",15,50,33
"Chennai",16,37,30
"Chennai",17,40,33
"Coimbatore",14,129,20
"Coimbatore",15,100,35
"Coimbatore",16,161,36
"Coimbatore",17,86,31
"Cuddalore",14,11,2
"Cuddalore",15,13,3
"Cuddalore",16,18,6
"Cuddalore",17,12,3
"Dharmapuri",14,79,3
"Dharmapuri",15,39,3
"Dharmapuri",16,69,4
"Dharmapuri",17,51,3
"Dindigul",14,21,5
"Dindigul",15,13,6
"Dindigul",16,38,10
"Dindigul",17,12,9
"Erode",14,5,4
"Kallakurichi",14,3,1
"Kallakurichi",15,2,2
"Kallakurichi",16,8,3
"Kallakurichi",17,3,3
"Kancheepuram",14,15,4
"Kancheepuram",15,9,4
"Kancheepuram",16,25,13
"Kanniyakumari",14,27,6
"Kanniyakumari",15,26,7
"Kanniyakumari",16,2,2
"Kanniyakumari",17,1,1
"Karaikal",16,4,1
"Karur",16,4,1
"Karur",17,1,1
"Krishnagiri",15,3,1
"Krishnagiri",16,1,1
"Madurai",14,15,9
"Madurai",15,2,2
"Madurai",16,6,3
"Madurai",17,3,3
"Nagapattinam",14,8,5
"Nagapattinam",15,2,2
"Nagapattinam",16,4,2
"Nagapattinam",17,15,5
"Namakkal",14,7,2
"Namakkal",15,4,2
"Namakkal",16,9,4
"Namakkal",17,7,4
"Perambalur",14,2,1
"Puducherry",14,40,7
"Puducherry",15,13,5
"Puducherry",16,77,6
"Puducherry",17,91,5
"Pudukkottai",14,7,2
"Pudukkottai",15,5,1
"Pudukkottai",16,15,1
"Pudukkottai",17,10,2
"Ramanathapuram",17,3,3
"Ranipet",14,1,1
"Ranipet",15,2,1
"Ranipet",16,4,3
"Ranipet",17,1,1
"Salem",14,50,10
"Salem",15,34,9
"Salem",16,24,9
"Salem",17,28,10
"Sivaganga",14,8,1
"Sivaganga",15,4,2
"Sivaganga",16,12,5
"Sivaganga",17,1,1
"Tenkasi",15,2,1
"Tenkasi",16,2,1
"Thanjavur",14,10,4
"Thanjavur",15,13,7
"Thanjavur",16,18,6
"Thanjavur",17,12,5
"The Nilgiris",14,4,4
"The Nilgiris",15,4,4
"The Nilgiris",16,4,3
"The Nilgiris",17,2,2
"Theni",14,7,4
"Theni",15,17,7
"Theni",16,2,2
"Theni",17,12,2
"Thiruvallur",14,14,10
"Thiruvallur",15,11,8
"Thiruvallur",16,19,7
"Thiruvallur",17,6,6
"Thiruvarur",15,1,1
"Thiruvarur",16,2,2
"Thiruvarur",17,2,1
"Thoothukkudi",14,1,1
"Thoothukkudi",15,2,2
"Thoothukkudi",16,6,2
"Thoothukkudi",17,2,2
"Tiruchirappalli",14,25,7
"Tiruchirappalli",15,11,6
"Tiruchirappalli",16,12,6
"Tiruchirappalli",17,8,7
"Tirunelveli",14,3,3
"Tirunelveli",16,5,5
"Tirupathur",15,1,1
"Tiruppur",14,92,21
"Tiruppur",15,41,16
"Tiruppur",16,17,12
"Tiruppur",17,16,10
"Tiruvannamalai",14,10,6
"Tiruvannamalai",15,3,3
"Tiruvannamalai",16,3,3
"Vellore",14,1,1
"Vellore",15,1,1
"Vellore",16,1,1
"Viluppuram",14,57,7
"Viluppuram",15,175,5
"Viluppuram",16,29,5
"Viluppuram",17,71,4
"Virudhunagar",14,5,2
"Virudhunagar",15,8,3
"Virudhunagar",16,3,1
"Virudhunagar",17,4,1
NA,17,9,4
