"STATE.CODE","n"
"IN-MH",733
"IN-KA",727
"IN-KL",618
"IN-TN",422
"IN-WB",331
"IN-UL",288
"IN-GJ",279
"IN-MP",205
"IN-AS",175
"IN-HP",158
"IN-OR",151
"IN-RJ",147
"IN-UP",138
"IN-TS",111
"IN-DL",107
"IN-AP",88
"IN-GA",83
"IN-CT",75
"IN-HR",72
"IN-AR",53
"IN-ML",45
"IN-JK",43
"IN-AN",41
"IN-BR",41
"IN-SK",31
"IN-JH",30
"IN-PB",30
"IN-NL",28
"IN-TR",26
"IN-CH",16
"IN-LA",7
"IN-MN",6
"IN-PY",6
"IN-MZ",5
"IN-DN",2
"IN-LD",2
"IN-DD",1
