SAMPLING.EVENT.IDENTIFIER
S194804388
S194804392
S198286286
S197104825
S197607161
S197257886
S197104858
S197104856
S198286297
S198286298
S197486242
S197486246
S194804385
S194804439
S197486245
S194804402
S197257873
S197104842
S196046035
S194804399
S194804375
S197486247
S195426850
S195426848
S197104836
S194804424
S197858068
S195426855
S196046034
S195426837
S196046044
S197104838
S197607156
S198286263
S196046043
S198286278
S196046041
S196046046
S197258477
S197257878
S194804406
S197104855
S197104839
S198286280
S197858072
S197858066
S197858070
S197858073
S197858071
S197858075
S197104835
S197607158
S197257883
S197258457
S197258439
S197257900
S197104840
S197104843
S195426843
S197257894
S198286279
S198286282
S197110749
S198286289
S197607160
S195426854
S194804417
S197104834
S197104833
S196185100
S197486240
S197486244
S198286261
S197257898
S197257884
S194804386
S195426839
S196046045
S196046040
S195426840
S197104854
S197104841
S197257874
S197104850
S195426836
S196046036
S198286275
S195426851
S195426852
S195426849
S198286274
S194813989
S194804390
S194804380
S197607153
S198286283
S198286284
S197257872
S196046048
S196046049
S196046051
S197257905
S196046052
S195426847
S198286273
S198286281
S197257876
S195426844
S197607152
S196046047
S197104857
S198286277
S196046042
S197257896
S197257899
S197257885
S197257888
S197257887
S198286292
S196046037
S194804377
S196185102
S196185101
S198286262
S197257901
S198286291
S198286285
S197607150
S197104848
S197104846
S195426864
S198286290
S197110748
S197104845
S194804383
S197257880
S197858078
S197257889
S195426845
S195426838
S198286266
S197257903
S195426841
S196185103
S197104852
S198286271
S197607154
S198286269
S197257892
S198286288
S197317365
S198286264
S197607151
S196185104
S197257877
S196185105
S197426699
S197426698
S197486239
S197607162
S197607159
S197858077
S197257875
S196046038
S195426842
S197110750
S197607157
S197858074
S197317361
S197257891
S197257881
S197607155
S198286270
S196046033
S194804428
S194804396
S197486248
S194804381
S196046039
S198286265
S197257904
S197257902
S194804421
S194804429
S197257882
S197317367
S195426846
S194804432
S197607148
S197607149
S198286293
S198286296
S198286295
S198286294
S197257897
S194804420
S197104851
S197104849
S198286276
S197104853
S197257893
S197858067
S197104847
S197858069
S195426853
S197104844
S197257895
S198286272
S197258462
