"ST_NM","lists"
"TAMIL NADU",11293
"KERALA",6267
"KARNATAKA",2284
"MAHARASHTRA",1731
"ANDHRA PRADESH",1623
"UTTARAKHAND",1335
"JAMMU & KASHMIR",1095
"MADHYA PRADESH",935
"GUJARAT",699
"WEST BENGAL",586
"ASSAM",485
"TELANGANA",461
"HIMACHAL PRADESH",347
"RAJASTHAN",339
"CHHATTISGARH",268
"UTTAR PRADESH",233
"ODISHA",195
"DELHI",155
"PUDUCHERRY",132
"LADAKH",121
"ANDAMAN & NICOBAR",112
"HARYANA",107
"GOA",88
"PUNJAB",84
"SIKKIM",56
"MEGHALAYA",55
"CHANDIGARH",40
"BIHAR",33
"MANIPUR",22
"JHARKHAND",19
"NAGALAND",17
"ARUNACHAL PRADESH",15
"TRIPURA",5
"DAMAN & DIU",3
"DADRA & NAGAR HAVE",1
"LAKSHADWEEP",1
