"COMMON.NAME","freq"
"Kalij Pheasant",0.0196501763748255
"Black-throated Tit",0.0195592863081996
"Great Cormorant",0.0194130275191666
"Pheasant-tailed Jacana",0.0189819888318942
"Himalayan Cuckoo",0.0188095837603817
"House Swift",0.0188045313819308
"Knob-billed Duck",0.0185500127044562
"Gray-headed Woodpecker",0.0184376848617408
"Gray Junglefowl",0.0183303082649839
"Crimson Sunbird",0.0179383801061924
"Eurasian Tree Sparrow",0.0179317475978246
"Striated Laughingthrush",0.017852644476506
"Spot-breasted Fantail",0.0177850500754338
"Common Redshank",0.0174919493501195
"White-bellied Drongo",0.0174753218164711
"White-bellied Sea-Eagle",0.017324516540911
"Glossy Ibis",0.0171128594643624
"Lesser Cuckoo",0.0171019165598638
"Black Bittern",0.0168259399619347
"Slaty-headed Parakeet",0.0167758838847058
"Dusky Crag-Martin",0.0166344412595131
"Green Imperial-Pigeon",0.0162759607291373
"Red-billed Leiothrix",0.016075962658846
"Himalayan Griffon",0.0160013313773191
"Wedge-tailed Green-Pigeon",0.0159514815298866
"Rufous Woodpecker",0.0158164212130114
"Asian Barred Owlet",0.0156955426584619
"Square-tailed Drongo-Cuckoo",0.0154732578618391
"Collared Kingfisher",0.0154605263157895
"White-browed Fantail",0.0154035118567471
"Asian Emerald Dove",0.015312225626049
"Long-tailed Parakeet",0.0152725563909774
"Yellow-wattled Lapwing",0.0152527544133453
"Chestnut-headed Bee-eater",0.014946674541416
"Red-breasted Parakeet",0.0148416055155103
"River Tern",0.0148128779803392
"Greater Painted-Snipe",0.0147756211033666
"Gray-throated Martin",0.0146956393312867
"Vernal Hanging-Parrot",0.0145542221711795
"Rufous-tailed Lark",0.0143803370638509
"White-crested Laughingthrush",0.0143526355295995
"Cinnamon Bittern",0.0142959807653575
"Chestnut-crowned Laughingthrush",0.0142205500849175
"Indian Thick-knee",0.0141132651832672
"Asian Glossy Starling",0.0137844611528822
"Tickell's Thrush",0.0136674987126789
"Woolly-necked Stork",0.0135709721062394
"Black-throated Prinia",0.0133407006527307
"Plume-toed Swiftlet",0.0130795739348371
"Eurasian Spoonbill",0.013061286923976
"Common Hill Myna",0.0130387221137995
"Red Avadavat",0.0127048487667076
"Olive-backed Sunbird",0.012687969924812
"Greater Flamingo",0.0125703942158146
"Velvet-fronted Nuthatch",0.012523655196459
"Little Ringed Plover",0.0124839462153682
"Blue-winged Minla",0.0124729349340535
"Cotton Pygmy-Goose",0.0124296238985974
"Fork-tailed Drongo-Cuckoo",0.0123448316430804
"Rusty-cheeked Scimitar-Babbler",0.012320350836131
"Sarus Crane",0.0121506959930495
"White Wagtail",0.0119578833197129
"Changeable Hawk-Eagle",0.0119399711800106
"Yellow-crowned Woodpecker",0.0119260338628156
"Black-naped Oriole",0.0119047619047619
"Long-tailed Minivet",0.0117352047085616
"Red-billed Blue-Magpie",0.0117067374895164
"Golden-fronted Leafbird",0.0115661387900261
"Blyth's Leaf Warbler",0.0115204040131942
"Fulvous-breasted Woodpecker",0.0114937597478188
"Jungle Bush-Quail",0.0113629125212653
"Green-tailed Sunbird",0.0113607630396177
"Gray-winged Blackbird",0.0113499688124852
"Indian Yellow Tit",0.0113346774370846
"Brown-capped Pygmy Woodpecker",0.0112699179700981
"Crested Treeswift",0.011132863115599
"Maroon Oriole",0.0111146779714603
"Bengal Bushlark",0.0110816804928696
"Egyptian Vulture",0.0110428172608507
"Chestnut-bellied Rock-Thrush",0.0110033725256346
"cormorant sp.",0.0108049859792674
"Clamorous Reed Warbler",0.0104905047686781
"Andaman Teal",0.0104166666666667
"Crested Lark",0.0103855012938318
"Coal Tit",0.0102963010913909
"Lesser Flamingo",0.0102397230489889
"Indian Bushlark",0.0101900225291683
"Hill Partridge",0.0101100737640105
"Jerdon's Leafbird",0.0101080549590083
"Indochinese Roller",0.0100191990671867
"Himalayan Woodpecker",0.0100020324882331
"Whimbrel",0.00994468914996979
"White-eyed Buzzard",0.00987206443828552
"Striated Bulbul",0.00983365005921397
"Lesser Coucal",0.00971252115753933
"Western Reef-Heron",0.00970586186623245
"Thick-billed Flowerpecker",0.0096385152012661
"Black-crested Bulbul",0.00954690488635646
"Streak-throated Swallow",0.00953436839991548
"Streak-breasted Scimitar-Babbler",0.00952299837354941
"Whiskered Tern",0.00947769243863742
"Siberian Stonechat",0.00944597779320717
"Black-headed Jay",0.00937057570035705
"Mallard",0.00936115725359911
"Silver-eared Mesia",0.00933962653887466
"Andaman Drongo",0.00932017543859649
"Eurasian Magpie",0.0091765873015873
"Himalayan Prinia",0.00914396040059063
"Lesser Sand-Plover",0.00913997564741745
"Malabar Gray Hornbill",0.00913444886359108
"Plumbeous Redstart",0.00907738965972772
"Black-headed Cuckooshrike",0.00898210217190389
"Scarlet-backed Flowerpecker",0.00897631779984721
"Greater Flameback",0.00896936117289682
"Black-chinned Babbler",0.00896694180334492
"Spot-billed Pelican",0.00890732279312721
"Brown-fronted Woodpecker",0.00889910189716446
"Rusty-fronted Barwing",0.00889380043515382
"Little Stint",0.00871193521408349
"Common Rosefinch",0.0087093274325088
"Bar-winged Flycatcher-shrike",0.00865701312508329
"Chestnut-bellied Nuthatch",0.00858227573653831
"Rufous-necked Laughingthrush",0.00858101797951422
"White-throated Laughingthrush",0.00853087132790795
"Gray Wagtail",0.00840492610597236
"Bay Woodpecker",0.00834331708391859
"Asian Fairy-bluebird",0.00828497097944215
"Wood Sandpiper",0.00822033500252389
"White-tailed Robin",0.00821456112809496
"Striated Grassbird",0.00817266915995748
"Nilgiri Flowerpecker",0.00815396389491707
"Oriental Pied-Hornbill",0.00794347463046305
"Tickell's Leaf Warbler",0.0079425091054463
"Ruddy Shelduck",0.00791639819772222
"Yellow-bellied Prinia",0.00790816326530612
"Golden-throated Barbet",0.00789749098019775
"pipit sp.",0.00787394846983608
"Indian Blackbird",0.00785031184542064
"Black Redstart",0.00784501071490867
"Indian Nightjar",0.0078019187504196
"Ultramarine Flycatcher",0.00778079219673124
"Jungle Prinia",0.00777271741510064
"Mountain Chiffchaff",0.00768343051506317
"Black-bellied Plover",0.00765722445649006
"Indian Scops-Owl",0.00762646903128487
"Gull-billed Tern",0.00757682881581919
"Red-tailed Minla",0.00755942052934534
"Yellow-browed Bulbul",0.00755249749835113
"Black-winged Cuckooshrike",0.00752559273390461
"Eurasian Kestrel",0.00749313365791009
"Black-faced Warbler",0.00748550210389741
"Oriental Skylark",0.00744451399907425
"River Lapwing",0.00742307781783227
"Black-throated Sunbird",0.00740494356469225
"Plaintive Cuckoo",0.00738840990941831
"Large-tailed Nightjar",0.00735117600919798
"Bar-tailed Treecreeper",0.00733967413935036
"Great Myna",0.00732292917166867
"Rufous-bellied Niltava",0.00729695817574516
"Gray-backed Shrike",0.00720225975144092
"Lesser Yellownape",0.00717877933074343
"Speckled Piculet",0.00716051069379144
"crow sp.",0.00716043676400351
"Beautiful Sibia",0.00714285714285714
"Pacific Reef-Heron",0.00712719298245614
"Orange-breasted Green-Pigeon",0.00708874458874459
"Barn Owl",0.00708356989641276
"Loten's Sunbird",0.00708192017988958
"Chestnut-tailed Minla",0.00707331582973476
"Eurasian Jackdaw",0.00705980066445183
"Lesser Shortwing",0.00698765336093952
"Bay-backed Shrike",0.00698134119011836
"Rock Bunting",0.00697669710187508
"Barred Cuckoo-Dove",0.0069576413561376
"Indian Scimitar-Babbler",0.00689817690777296
"swift sp.",0.00684578559415234
"Lesser Whitethroat",0.00678365199900558
"Brown-cheeked Fulvetta",0.00667928445114137
"Crested Bunting",0.00667195293153111
"White-throated Bulbul",0.00662238579642383
"Gray-bellied Tesia",0.00651772854890944
"Collared Owlet",0.00650850462751791
"Red-billed Chough",0.00643322805312601
"Barred Buttonquail",0.00643188420404622
"Ruby-cheeked Sunbird",0.00639801375095493
"Andaman Flowerpecker",0.00634398496240601
"Black-naped Tern",0.00634398496240601
"Blue-eared Barbet",0.00630252100840336
"Indian Nuthatch",0.00628608497519672
"Rufous-capped Babbler",0.00627840204907874
"Hooded Pitta",0.00627250900360144
"Blue-capped Rock-Thrush",0.00626365420864582
"White-browed Scimitar-Babbler",0.0062502820677143
"Black-necked Stork",0.0062247503423974
"Gray-capped Pygmy Woodpecker",0.00617711292983565
"Green-billed Malkoha",0.00613264444533794
"Long-tailed Broadbill",0.00607867044549504
"Brown Boobook",0.00606151538920104
"Black Eagle",0.0060539909283087
"Himalayan Cutia",0.00601779173207745
"sunbird sp.",0.00601739341270547
"Banded Bay Cuckoo",0.00597103777639604
"Streaked Weaver",0.00595823365756921
"Andaman Shama",0.00595238095238095
"Pygmy Cupwing",0.00586258795015982
"Greenish Warbler",0.00584356434279819
"Whistler's Warbler",0.00580847723704867
"Red Spurfowl",0.00577499375177344
"Chestnut-headed Tesia",0.00574723067642009
"Blue-winged Laughingthrush",0.00572791869784351
"Common Green-Magpie",0.00572078285032609
"Blue-faced Malkoha",0.00567334873813279
"Terek Sandpiper",0.0056390977443609
"White-winged Redstart",0.0056280525030525
"Ruddy-breasted Crake",0.00562727262644628
"Malabar Trogon",0.00557992527082854
"Scaly-bellied Woodpecker",0.0055584525220759
"Red-headed Trogon",0.00555143109875529
"Tawny-bellied Babbler",0.00554814022341628
"Himalayan Black-lored Tit",0.0055372920569493
"Blue-eared Kingfisher",0.00552326676210307
"white egret sp.",0.00549886224422971
"Western Crowned Warbler",0.00546929735349289
"Blyth's Shrike-Babbler",0.00546730838084222
"Golden-breasted Fulvetta",0.00546730838084222
"Golden Babbler",0.00546730838084222
"Blue-throated Flycatcher",0.00545253399925692
"Greater Necklaced Laughingthrush",0.0054467738512409
"White-tailed Nuthatch",0.00541375090486372
"Spotted Redshank",0.00540018580123967
"Nepal Fulvetta",0.00538674984163706
"Large Niltava",0.00536265113332782
"Mountain Imperial-Pigeon",0.00532226328944386
"Fire-breasted Flowerpecker",0.00531720044396059
"Large-billed Leaf Warbler",0.00530800871332433
"Black-breasted Weaver",0.00530453048017451
"Horned Lark",0.00529866250529516
"Large Woodshrike",0.00529611267722662
"Orange Minivet",0.00528899512023984
"Black-throated Parrotbill",0.00525799388581343
"Dark-sided Flycatcher",0.00522910616028143
"Malabar Pied-Hornbill",0.00516987424119788
"Blue-bearded Bee-eater",0.00516886638875256
"Buff-chested Babbler",0.00513205282112845
"Streak-throated Woodpecker",0.0050698010196905
"Yellow-vented Warbler",0.0050514942819233
"Crested Goshawk",0.00500882761326472
"European Starling",0.00498338870431894
"White-capped Redstart",0.00497920815946544
"Ashy Bulbul",0.00493613700818356
"Chestnut-winged Cuckoo",0.00489629050000567
"Mangrove Whistler",0.00485588972431078
"Chestnut-bellied Sandgrouse",0.00482625482625483
"Southern Hill Myna",0.00480413947481868
"Tricolored Munia",0.00479428799953501
"Rufous-vented Yuhina",0.00478806907378336
"Malabar Whistling-Thrush",0.00466796624058605
"Dollarbird",0.00464580308611468
"Eurasian Sparrowhawk",0.00464246308456085
"Crimson-backed Sunbird",0.00454594441768038
"Delicate Prinia",0.00448158398978071
"White-browed Piculet",0.00447691222237883
"Andaman Cuckoo-Dove",0.00446428571428571
"Andaman Treepie",0.00446428571428571
"Andaman Woodpecker",0.00446428571428571
"Freckle-breasted Woodpecker",0.00446428571428571
"White-headed Starling",0.00446428571428571
"Himalayan Shortwing",0.00444690021757691
"Chukar",0.00436905797756533
"Spot-breasted/White-browed Fantail",0.00434487858991742
"Slender-billed Scimitar-Babbler",0.00434224297006252
"diurnal raptor sp.",0.00432821282591712
"Rosy Pipit",0.00430855481727575
"Lesser Adjutant",0.00429577652203997
"Western Yellow Wagtail",0.0042848261439632
"Indian Courser",0.00426937926937927
"Greater Yellownape",0.00426316053569118
"Ruddy Turnstone",0.00421754421468617
"Rosy Minivet",0.00418932828424022
"Blue-naped Pitta",0.00414165666266507
"Great Hornbill",0.00411408484216915
"Slaty-bellied Tesia",0.00411164465786315
"White-spectacled Warbler",0.00411164465786315
"Gray-cheeked Warbler",0.00408163265306122
"Rufous-throated Partridge",0.00408163265306122
"Sikkim Wedge-billed Babbler",0.00408163265306122
"Streaked Spiderhunter",0.00408163265306122
"Striated Yuhina",0.00408163265306122
"White-breasted Parrotbill",0.00408163265306122
"Curlew Sandpiper",0.00408114881799092
"Robin Accentor",0.00406364468864469
"prinia sp.",0.0040299601908492
"Mountain Hawk-Eagle",0.00399609941824088
"Gray-sided Laughingthrush",0.00397697540554683
"Eurasian Jay",0.00395083669475618
"White-bellied Erpornis",0.00394574084972018
"Black-headed Gull",0.00394068928666845
"Spotted Forktail",0.0038768822961761
"Gold-naped Finch",0.00387231815803244
"Rufous-winged Fulvetta",0.00387231815803244
"Yellow-cheeked Tit",0.00387231815803244
"Orange-bellied Leafbird",0.00385448228428968
"Jungle Nightjar",0.00382604939738007
"Scaly Laughingthrush",0.00376766091051805
"Broad-billed Sandpiper",0.0037593984962406
"Lesser Black-backed Gull",0.0037593984962406
"Chestnut-capped Babbler",0.00374058714394849
"Booted Eagle",0.00372600590623846
"Brown Dipper",0.00367871856338221
"White-browed Fulvetta",0.00366300366300366
"Small Pratincole",0.00366298079041164
"Psilopogon sp.",0.00365152538965427
"Great Rosefinch",0.00356761294261294
"Pale Blue Flycatcher",0.00356116130662791
"parakeet sp.",0.00355868324504321
"bee-eater sp.",0.00353568604105661
"Brown-backed Needletail",0.00352794823381323
"Sirkeer Malkoha",0.00351897864429512
"Brown Crake",0.00348981321659733
"Asian Brown Flycatcher",0.00348715236294412
"Nepal House-Martin",0.00348110793316273
"Rufous-bellied Woodpecker",0.00346659211629857
"Brown Shrike",0.00344611528822055
"Scaly-breasted Cupwing",0.00336358142296668
"Oriental Scops-Owl",0.00335923633550266
"moorhen/coot/gallinule sp.",0.00335521211767059
"Flame-throated Bulbul",0.00329734039911038
"drongo sp.",0.00325641816124734
"Acridotheres sp.",0.00324675324675325
"Brachypodius/Rubigula/Pycnonotus sp.",0.00324675324675325
"Yellow-bellied Fairy-Fantail",0.00323960411232162
"Black-necked Crane",0.00322420634920635
"Hill Pigeon",0.00321914480077745
"Gray-fronted Green-Pigeon",0.00320226892101232
"Malayan Night-Heron",0.00315126050420168
"European Goldfinch",0.00314993106877302
"Mountain Bulbul",0.00313993907695628
"Small Niltava",0.00313993907695628
