"DISTRICT","lists"
"Baksa",94
"Kamrup Metropolitan",44
"Darrang",28
"Kamrup",24
"Sonitpur",20
"Lakhimpur",18
"Morigaon",17
"Kokrajhar",14
"Biswanath",11
"Karimganj",9
"Dibrugarh",8
"Udalguri",8
"Jorhat",6
"Cachar",5
"Majuli",5
"Nagaon",3
"Bongaigaon",2
"Chirang",2
"Dhemaji",2
"Karbi Anglong",2
"Nalbari",2
"Tinsukia",2
"Barpeta",1
"Golaghat",1
"Hojai",1
