"ST_NM","daym","lists","birders"
"ANDAMAN & NICOBAR",18,107,27
"ANDAMAN & NICOBAR",19,103,24
"ANDAMAN & NICOBAR",20,66,30
"ANDAMAN & NICOBAR",21,85,27
"ANDHRA PRADESH",18,485,66
"ANDHRA PRADESH",19,452,56
"ANDHRA PRADESH",20,431,53
"ANDHRA PRADESH",21,319,45
"ARUNACHAL PRADESH",18,45,17
"ARUNACHAL PRADESH",19,32,8
"ARUNACHAL PRADESH",20,28,13
"ARUNACHAL PRADESH",21,18,9
"ASSAM",18,80,41
"ASSAM",19,87,48
"ASSAM",20,82,45
"ASSAM",21,72,34
"BIHAR",18,11,9
"BIHAR",19,14,11
"BIHAR",20,16,11
"BIHAR",21,9,5
"CHANDIGARH",18,3,3
"CHANDIGARH",19,14,10
"CHANDIGARH",20,3,3
"CHANDIGARH",21,1,1
"CHHATTISGARH",18,171,42
"CHHATTISGARH",19,151,48
"CHHATTISGARH",20,169,49
"CHHATTISGARH",21,94,25
"DADRA & NAGAR HAVE",18,1,1
"DADRA & NAGAR HAVE",19,1,1
"DADRA & NAGAR HAVE",20,4,1
"DADRA & NAGAR HAVE",21,1,1
"DELHI",18,37,29
"DELHI",19,56,35
"DELHI",20,68,47
"DELHI",21,34,27
"GOA",18,20,18
"GOA",19,35,20
"GOA",20,37,26
"GOA",21,22,17
"GUJARAT",18,362,105
"GUJARAT",19,684,118
"GUJARAT",20,1159,135
"GUJARAT",21,806,86
"HARYANA",18,14,11
"HARYANA",19,27,19
"HARYANA",20,66,40
"HARYANA",21,6,6
"HIMACHAL PRADESH",18,167,58
"HIMACHAL PRADESH",19,121,68
"HIMACHAL PRADESH",20,161,110
"HIMACHAL PRADESH",21,102,58
"JAMMU & KASHMIR",18,64,21
"JAMMU & KASHMIR",19,42,19
"JAMMU & KASHMIR",20,26,16
"JAMMU & KASHMIR",21,22,16
"JHARKHAND",18,14,12
"JHARKHAND",19,63,15
"JHARKHAND",20,46,14
"JHARKHAND",21,19,8
"KARNATAKA",18,813,247
"KARNATAKA",19,909,311
"KARNATAKA",20,960,327
"KARNATAKA",21,757,248
"KERALA",18,2413,330
"KERALA",19,2217,305
"KERALA",20,2726,324
"KERALA",21,2031,278
"LADAKH",18,164,28
"LADAKH",19,113,28
"LADAKH",20,64,17
"LADAKH",21,51,18
"MADHYA PRADESH",18,209,48
"MADHYA PRADESH",19,345,61
"MADHYA PRADESH",20,344,93
"MADHYA PRADESH",21,292,54
"MAHARASHTRA",18,442,187
"MAHARASHTRA",19,485,270
"MAHARASHTRA",20,1104,366
"MAHARASHTRA",21,730,279
"MANIPUR",18,7,5
"MANIPUR",19,6,3
"MANIPUR",20,3,3
"MEGHALAYA",18,24,12
"MEGHALAYA",19,36,18
"MEGHALAYA",20,47,15
"MEGHALAYA",21,30,13
"MIZORAM",18,19,8
"MIZORAM",19,16,8
"MIZORAM",20,15,6
"MIZORAM",21,16,8
"NAGALAND",18,36,18
"NAGALAND",19,21,11
"NAGALAND",20,2,2
"NAGALAND",21,20,8
"ODISHA",18,72,19
"ODISHA",19,151,28
"ODISHA",20,136,30
"ODISHA",21,140,22
"PUDUCHERRY",18,20,6
"PUDUCHERRY",19,24,5
"PUDUCHERRY",20,76,6
"PUDUCHERRY",21,15,3
"PUNJAB",18,19,8
"PUNJAB",19,22,10
"PUNJAB",20,29,16
"PUNJAB",21,14,8
"RAJASTHAN",18,555,43
"RAJASTHAN",19,536,46
"RAJASTHAN",20,660,76
"RAJASTHAN",21,668,24
"SIKKIM",18,8,4
"SIKKIM",19,9,2
"SIKKIM",20,7,2
"SIKKIM",21,3,1
"TAMIL NADU",18,3550,167
"TAMIL NADU",19,2744,182
"TAMIL NADU",20,2356,190
"TAMIL NADU",21,1802,137
"TELANGANA",18,20,12
"TELANGANA",19,31,25
"TELANGANA",20,59,41
"TELANGANA",21,23,12
"TRIPURA",18,82,15
"TRIPURA",19,93,13
"TRIPURA",20,110,17
"TRIPURA",21,94,12
"UTTAR PRADESH",18,82,43
"UTTAR PRADESH",19,93,40
"UTTAR PRADESH",20,88,54
"UTTAR PRADESH",21,53,22
"UTTARAKHAND",18,417,80
"UTTARAKHAND",19,449,84
"UTTARAKHAND",20,377,75
"UTTARAKHAND",21,380,68
"WEST BENGAL",18,76,46
"WEST BENGAL",19,133,75
"WEST BENGAL",20,197,92
"WEST BENGAL",21,113,58
