Campus Hotspot Location ID,Campus Name
L14450535,Kanha Tiger Reserve--Mukki Gate
L16831336,"Karnataka State Akkamahadevi Women's University, Vijayapur KSAWUV"
L9841890,Karnataka University
L10295713,Kerala Agricultural University Main Campus
L8166754,Kerala Agricultural University Main Campus
L3086715,Kerala Agricultural University Main Campus
L2945016,Kerala Agricultural University Main Campus
L8173986,Kerala Agricultural University Main Campus
L13550298,"Krushi Vidnyan Kendra, Mamurabad Road"
L4173881,Lady Doak College
L8154387,Lal Bahadur Shastri National Academy of Administration (LBSNAA)
L3350899,Loyola College
L3350901,Madras Christian College
L4240208,Madras Veterinary College--Department of Wildlife Science
L6872602,Maharshi Dayanand Saraswati University
L4248294,Mangalore University--Main Campus
L17762159,"Marina Park, Port Blair"
L17706159,Mepco Schlenk Engineering College
L17706291,"MGSM's Arts, Science & Commerce College. Chopda"
L5624678,Miranda House Delhi
L17751507,MIT World Peace University
L13334207,Mohrenga Nature Trail
L17706353,Mount Fort Academy
L5444050,MSB Educational Institute
L10810158,Nagaland Zoological Park
L17742113,Nareshwadi Learning Centre (NLC)
L6200742,National Brain Research Centre (NBRC)
L1664748,National Centre for Biological Sciences (NCBS)
L10744949,National Chambal Sanctuary--Deori Eco Centre
L17802109,"National Institute of Technology, Manipur"
L17743408,Nature Park and Interpretation Centre. Port Blair
L6924761,Navsari Agricultural University (NAU)
L17770466,Neepco
L4298951,Nilgiri Biosphere Nature Park
L13402796,Nirmalagiri Campus
L13689095,"NISER, JATNI"
L6858804,NITTE University--Paneer Campus
L17773449,Nochat Higher Secondary School
L17760516,North Eastern Regional Institute of Science and Technology (NERIST)
L17782732,"North-Eastern Hill University, Tura Campus"
L17717937,"NSS College, Cherthala"
L6952100,"Organic Horticulture Farm, Sippighat"
L17751399,"P22, Sec 1, Avanti Vihar (Restricted)"
L1958749,Padma Abash Irongmara
L5447045,"Panchayat Union Middle School, Thalavaipatty"
L13729206,Parnashala Forest Nursery
L17657899,"Pedda Cheruvu, Palasa"
L6765347,Periyar University
L16711681,"PGDAV College Campus, Delhi"
L5441720,"Physical Research Laboratory (PRL), Thaltej Campus"
L17010520,"Physical Research Laboratory Hostel Campus, Navrangpura"
L17769969,"Pondicherry University, Port Blair Campus"
L4350584,Pragjyotish College Campus
L17770020,Pristine Beach Resort
L17835129,PSMO College
L5294910,R K Puram--Sector 3
L5083268,Rajapalayam Rajus' College
L17742070,Rajiv Gandhi Institute of Technology (RIT)
L3120145,Rajiv Gandhi Institute of Veterinary Education and Research (Restricted Access)
L5062791,Rajiv Smriti Van & Urja Park
L8206417,Ramco Institute of Technology
L17802115,Regional Institute of Medical Sciences
L6777428,Reni Pani Jungle Lodge
L17802197,Rishi Valmiki Eco School
L13617206,S.B Deorah College
L17783420,"Saintgits College of Engineering, Kottayam"
L2502929,Salim Ali Centre for Ornithology and Natural History (SACON)
L3311541,"Sant Gadge Baba Amravati University, Amravati (SGBAU)"
L17783890,Sarojini Naidu College for Women
L2777415,SGPGI Campus & Surroundings--Campus Proper
L3937607,SGPGI Campus & Surroundings--Campus Proper
L3936730,SGPGI Campus & Surroundings--Campus Proper
L3941772,SGPGI Campus & Surroundings--Campus Proper
L9507114,SGPGI Campus & Surroundings--Campus Proper
L17770395,"Shankarlal Khandelwal Arts, Science And Commerce College"
L17761958,Sharda English Medium School Kopargaon
L2712373,Shiv Nadar University (SNU)
L5447302,"Shri. Shivaji Science College, Amravati"
L13546767,"Sir C R Reddy College for Women, Eluru"
L17706183,"Sir Syed College, Taliparamba"
L17688805,Smruti Udyan (Shivaji Park)
L10233402,Somaiya Vidavihar University
L17802265,"Somaiya Vidya Mandir, Laxmiwadi, Ahmednagar"
L17630505,Somaiya Vidyavihar Univeristy
L3127160,"Sophia Girls' College ( Autonomous),Ajmer"
L10134714,"Sri Adi Chunchanagiri Women's College, Cumbum"
L3350875,"Sri Venkateswara College, Delhi"
L17802103,"SSt. Joseph's Higher Secondary School, Pavaratty"
L17751383,St Aloysius Institute of Management and Information Technology (AMIT)
L17779388,"St Peter's College, Kolenchery"
L17783558,St. Ann’s College for Women
L13456361,"St. Catherine's Higher Secondary School, Payyampally(SCHSS Payyampally)"
L3350886,St. Joseph's College
L5523940,"St. Mary's Higher Secondary School, Mhow"
L17646177,St. Thomas College Kozhenchery
L6765773,"St.Xaviers College for Women, Aluva"
L3357179,Stella Maris College
L8561365,"Step By Step School, Noida"
L5242954,Sujan Jawai Camp
L13648710,SV University Tirupati
L10575889,"SV Veterinary University, Tirupati"
L4277624,"Symbiosis International University (SIU), Lavale"
L17624202,"Tathastu Resort, Pench"
L5271303,Tezpur University Campus
L4311062,The Daly College
L17706195,The Maharaja Sayajirao University of Baroda
L6761973,The Maharaja Sayajirao University of Baroda
L17769979,"Tragopan Breeding Centre, Kohima"
L17770078,"Unity College, Dimapur"
L3868204,"University of Agricultural Sciences, Dharwad"
L3353046,University of Jammu
L17760505,"Upper Primary School Sarawan, Ramnagar"
L17706181,Utkal University
L17688726,Velu Thampi Memorial Nair Service Society College (VTM NSS)
L17770026,VKV Campus Doyang
L17760580,VTM NSS College
L2348198,Wildlife Institute of India (WII)
L3373396,Women's Christian College (WCC)
L3805772,"WRS Colony, Raipur"
