"DISTRICT","lists"
"Lakhimpur",48
"Golaghat",42
"Barpeta",30
"Kamrup",30
"Kamrup Metropolitan",24
"Sonitpur",21
"Cachar",19
"Kokrajhar",19
"Chirang",14
"Baksa",12
"Goalpara",12
"Dhemaji",10
"Tinsukia",10
"Biswanath",8
"Darrang",6
"Nagaon",6
"Dibrugarh",5
"Udalguri",5
"Dhubri",4
"Karimganj",4
"South Salmara Mancachar",3
"Bongaigaon",2
"Majuli",2
"Nalbari",2
"Dima Hasao",1
"Jorhat",1
"Morigaon",1
"West Karbi Anglong",1
