"COUNTY","lists"
"Kolkata",70
"South 24 Parganas",70
"North 24 Parganas",41
"Birbhum",32
"Darjeeling",21
"Purba Bardhaman",20
"Hooghly",16
"Howrah",16
"Paschim Bardhaman",16
"Kalimpong",13
"Nadia",12
"Jalpaiguri",7
"Bankura",6
"Jhargram",6
"Dakshin Dinajpur",3
"Malda",3
"Purba Medinipur",3
"Alipurduar",1
"Purulia",1
